category_id,category_name,subcategory_id,subcategory_name,code_id,code_label,definition,frequency,pass_introduced,focus_groups,scenarios,roles
ET,Epistemic Transparency,ET-IA,Information Adequacy,OC-053,requesting-additional-information,Participant asks for data beyond what the scenario provides in order to make or refine a decision.,44,1,FG-1; FG-2; FG-3; FG-4; FG-5,A; B; C; D; E; F; G; H; J,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
ET,Epistemic Transparency,ET-IA,Information Adequacy,OC-049,questioning-information-sufficiency,"Participant expresses concern that the available information is inadequate, ambiguous, or potentially misleading.",26,1,FG-1; FG-2; FG-3; FG-4; FG-5,A; B; C; D; F; G; H; J,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
ET,Epistemic Transparency,ET-IA,Information Adequacy,OC-058,seeking-comprehensive-assessment,"Participant wants a holistic picture—multiple data points, fuller profile—before committing to a decision.",3,1,FG-1,A; C; D,Ethics Specialist; Operational Practitioner
ET,Epistemic Transparency,ET-SR,Signal Reliability,OC-010,assessing-sensor-reliability,"Participant questions the accuracy or trustworthiness of the drone's sensor data, thermal imaging, or detection technology.",21,1,FG-1; FG-3; FG-4; FG-5,A; B; C; D; E; H; J,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
ET,Epistemic Transparency,ET-SR,Signal Reliability,OC-002,accounting-for-false-positives,Participant considers the impact of incorrect positive signals or detections on decision-making.,8,1,FG-1; FG-2; FG-3; FG-4; FG-5,B; E; H; J,Autonomous Systems Expert; Ethics Specialist; Layperson
ET,Epistemic Transparency,ET-SR,Signal Reliability,OC-025,deferring-to-confirmed-information,Participant prioritizes known/confirmed facts over uncertain or probabilistic signals when deciding.,10,1,FG-1; FG-2; FG-5,B,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
ET,Epistemic Transparency,ET-SR,Signal Reliability,OC-028,demanding-track-record-disclosure,Participant wants historical performance data about the system's past accuracy to calibrate trust.,1,2,FG-4,F,Ethics Specialist
ET,Epistemic Transparency,ET-UC,Uncertainty Characterization,OC-013,comparing-confidence-levels,Participant evaluates or contrasts the certainty/confidence associated with different pieces of information.,11,1,FG-1; FG-2; FG-4; FG-5,B; C; E; F,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
ET,Epistemic Transparency,ET-UC,Uncertainty Characterization,OC-012,characterizing-uncertainty-types,"Participant distinguishes between different sources or types of uncertainty (epistemic vs. aleatory, downstream vs. capability).",2,2,FG-3,C,Ethics Specialist
ET,Epistemic Transparency,ET-UC,Uncertainty Characterization,OC-029,disclosing-system-limitations,Participant wants the system to be honest about what it can and cannot reliably detect or do.,3,1,FG-2; FG-3; FG-4,F; H; I,Autonomous Systems Expert; Ethics Specialist; Operational Practitioner
DR,Decision Rationale,DR-RP,Reasoning Process,OC-065,wanting-transparency-of-reasoning,Participant wants the drone's decision rationale or system logic to be explained or disclosed.,14,1,FG-2; FG-3; FG-4,E; F; G; I; J,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
DR,Decision Rationale,DR-RP,Reasoning Process,OC-007,applying-probabilistic-reasoning,"Participant uses percentages, expected values, or probability calculations to evaluate options.",27,1,FG-1; FG-2; FG-3; FG-4; FG-5,A; B; D; E; G; H; J,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
DR,Decision Rationale,DR-RP,Reasoning Process,OC-039,guarding-against-order-bias,Participant warns that the sequence in which information arrives should not determine priority of action.,1,2,FG-4,C,Operational Practitioner
DR,Decision Rationale,DR-OE,Option Evaluation,OC-033,evaluating-alternative-options,Participant proposes or considers courses of action beyond those explicitly offered in the scenario.,27,1,FG-1; FG-2; FG-3; FG-4; FG-5,A; B; C; D; E; F; G; H; I; J,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
DR,Decision Rationale,DR-OE,Option Evaluation,OC-034,evaluating-coverage-vs-accuracy-tradeoff,Participant weighs breadth of search area against reliability of detection in degraded sensor conditions.,8,1,FG-2; FG-4,H,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
DR,Decision Rationale,DR-OE,Option Evaluation,OC-051,questioning-scenario-constraints,Participant challenges the limitations or premises posed by the scenario.,6,1,FG-1; FG-2; FG-4,A; B; C; H,Autonomous Systems Expert; Layperson; Operational Practitioner
DR,Decision Rationale,DR-RB,Risk Balancing,OC-066,weighing-competing-risks,"Participant balances multiple risk factors against each other (e.g., rescuer risk vs. victim survival).",31,1,FG-1; FG-2; FG-3; FG-4; FG-5,A; B; C; D; E; F; G; I; J,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
DR,Decision Rationale,DR-RB,Risk Balancing,OC-030,distinguishing-risk-types,"Participant differentiates between categories of risk (to rescuers, victims, drone, bystanders) or types of danger.",3,1,FG-1; FG-2,B; G,Autonomous Systems Expert; Ethics Specialist; Operational Practitioner
DR,Decision Rationale,DR-DC,Decision Complexity,OC-003,acknowledging-decision-difficulty,"Participant expresses that the decision is genuinely hard, stressful, or cognitively demanding.",9,1,FG-1; FG-2; FG-3,A; B; C; E; H,Ethics Specialist; Layperson; Operational Practitioner
DR,Decision Rationale,DR-DC,Decision Complexity,OC-060,wanting-composite-metric,Participant expresses desire for a single number or summary metric to compare options directly.,6,1,FG-1; FG-3,B; E,Ethics Specialist; Layperson; Operational Practitioner
CSA,Contextual Situational Awareness,CSA-HF,Human Factors,OC-015,considering-demographic-factors,"Participant weighs age, physical ability, swimming skill, or other personal characteristics of those involved.",15,1,FG-1; FG-2; FG-4; FG-5,A; B; D,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
CSA,Contextual Situational Awareness,CSA-HF,Human Factors,OC-005,anticipating-behavioral-responses,"Participant predicts how people will react to the drone's actions or presence, including panic, movement, or compliance.",13,1,FG-1; FG-2; FG-3,A; B; D; F,Autonomous Systems Expert; Layperson; Operational Practitioner
CSA,Contextual Situational Awareness,CSA-HF,Human Factors,OC-021,considering-population-density,Participant factors in where people are concentrated when allocating scarce resources.,7,1,FG-2; FG-4,H,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
CSA,Contextual Situational Awareness,CSA-TF,Temporal Factors,OC-022,considering-rescue-timeline,Participant factors in how long until additional help or resources will arrive.,12,1,FG-1; FG-2; FG-3; FG-4; FG-5,A; B; C; D; E; J,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
CSA,Contextual Situational Awareness,CSA-TF,Temporal Factors,OC-023,considering-time-sensitivity,Participant emphasizes urgency or time pressure in choosing which option to pursue.,20,1,FG-1; FG-2; FG-3; FG-4; FG-5,A; B; C; E; G; H; J,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
CSA,Contextual Situational Awareness,CSA-EC,Environmental Conditions,OC-067,weighing-environmental-conditions,"Participant considers weather, terrain, water conditions, or other environmental factors.",15,1,FG-1; FG-2; FG-3; FG-4; FG-5,A; B; D; F; H,Ethics Specialist; Layperson; Operational Practitioner
CSA,Contextual Situational Awareness,CSA-RA,Resource Assessment,OC-008,assessing-rescue-team-capacity,"Participant considers capabilities, size, or limitations of the human rescue teams.",23,1,FG-1; FG-2; FG-3; FG-4; FG-5,B; E; F; H,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
CSA,Contextual Situational Awareness,CSA-RA,Resource Assessment,OC-009,assessing-resource-allocation,"Participant evaluates how to distribute limited resources (drone time, flotation devices, rescue teams) across competing needs.",9,1,FG-1; FG-3; FG-4; FG-5,C; E,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
CSA,Contextual Situational Awareness,CSA-RA,Resource Assessment,OC-018,considering-force-multiplier-effects,Participant evaluates cascading or multiplicative benefits of helping one group over another.,4,1,FG-1; FG-5,C; E,Autonomous Systems Expert; Ethics Specialist
CSA,Contextual Situational Awareness,CSA-RA,Resource Assessment,OC-016,considering-drone-expendability,Participant views the drone as sacrificable or expendable compared to human life.,4,1,FG-1,B,Autonomous Systems Expert; Layperson
VGJ,Value-Grounded Justification,VGJ-TP,Triage Principles,OC-045,prioritizing-by-vulnerability,Participant advocates helping the person in greatest immediate danger or need first.,18,1,FG-1; FG-2; FG-3; FG-4; FG-5,A; B; C; D; E; F,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
VGJ,Value-Grounded Justification,VGJ-TP,Triage Principles,OC-041,maximizing-lives-saved,Participant applies utilitarian reasoning to save the greatest number of people.,15,1,FG-1; FG-2; FG-3; FG-4,A; B; C; E; H,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
VGJ,Value-Grounded Justification,VGJ-TP,Triage Principles,OC-042,maximizing-rescue-certainty,Participant prefers options with higher probability of successful rescue over riskier alternatives.,6,1,FG-1; FG-2; FG-4; FG-5,A; B; H,Autonomous Systems Expert; Ethics Specialist; Layperson
VGJ,Value-Grounded Justification,VGJ-RA,Rights and Autonomy,OC-056,respecting-individual-autonomy,"Participant advocates honoring a person's wishes, consent, or right to refuse assistance.",18,1,FG-1; FG-3; FG-4; FG-5,A; D; F; I,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
VGJ,Value-Grounded Justification,VGJ-RA,Rights and Autonomy,OC-048,questioning-consent-capacity,Participant questions whether a person can truly give informed consent or refusal given their physical or mental state.,14,1,FG-1; FG-3; FG-5,D,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
VGJ,Value-Grounded Justification,VGJ-RA,Rights and Autonomy,OC-068,weighing-privacy-concerns,"Participant considers tracking, monitoring, or surveillance implications of drone actions.",3,1,FG-1; FG-3; FG-5,D,Autonomous Systems Expert; Ethics Specialist; Operational Practitioner
VGJ,Value-Grounded Justification,VGJ-MO,Moral Obligations,OC-017,considering-duty-of-care,"Participant references the moral obligation to help those in need, regardless of circumstances.",7,1,FG-2; FG-3; FG-5,A; B; D; E; G,Ethics Specialist; Layperson; Operational Practitioner
VGJ,Value-Grounded Justification,VGJ-MO,Moral Obligations,OC-059,valuing-human-life-over-rules,"Participant prioritizes saving a life over legal, procedural, or institutional constraints.",14,1,FG-1; FG-2; FG-5,D; G,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
VGJ,Value-Grounded Justification,VGJ-MO,Moral Obligations,OC-001,accepting-tragic-tradeoffs,Participant acknowledges that some situations have no perfect outcome and that losses may be unavoidable.,6,1,FG-1; FG-4; FG-5,A; C; E; I,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
VGJ,Value-Grounded Justification,VGJ-FA,Fairness and Accountability,OC-069,weighing-victim-responsibility,"Participant assesses whether victims bear some blame for their situation, affecting priority.",2,1,FG-1,A; C,Ethics Specialist
VGJ,Value-Grounded Justification,VGJ-FA,Fairness and Accountability,OC-061,wanting-cost-fairness,Participant argues that rescued persons should not bear the financial burden of rescue they did not request.,3,1,FG-1; FG-5,D,Autonomous Systems Expert; Layperson
VGJ,Value-Grounded Justification,VGJ-FA,Fairness and Accountability,OC-052,reframing-success-criteria,Participant questions what counts as success or failure in resource-constrained scenarios where not everyone can be saved.,1,2,FG-3,I,Operational Practitioner
OC,Operational Communication,OC-HM,Human-Facing Messaging,OC-062,wanting-drone-communication,Participant desires the ability for the drone to relay information to or from people on the ground.,21,1,FG-1; FG-2; FG-3; FG-5,A; B; C; D; G; H,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
OC,Operational Communication,OC-HM,Human-Facing Messaging,OC-063,wanting-escape-route-guidance,Participant wants the drone to provide evacuation directions or safe-route information to people.,4,1,FG-2,B; H,Layperson; Operational Practitioner
OC,Operational Communication,OC-HM,Human-Facing Messaging,OC-064,wanting-risk-communication,"Participant wants collapse, danger, or hazard risks explicitly communicated to human responders.",5,1,FG-2; FG-4; FG-5,D; F,Autonomous Systems Expert; Ethics Specialist; Operational Practitioner
OC,Operational Communication,OC-ID,Information Delivery,OC-043,preferring-continuous-updates,"Participant wants the system to provide ongoing, incremental information as analysis progresses rather than a single final report.",4,1,FG-2; FG-4,F,Autonomous Systems Expert; Ethics Specialist
OC,Operational Communication,OC-ID,Information Delivery,OC-040,maintaining-situational-awareness,"Participant wants the drone to continue monitoring, providing location data, or maintaining visual contact.",5,1,FG-2,A; B; G,Autonomous Systems Expert; Operational Practitioner
OC,Operational Communication,OC-ID,Information Delivery,OC-032,ensuring-explanation-comprehensibility,Participant worries that technically complete explanations may be unintelligible to non-experts and wants accessible summaries.,3,2,FG-3; FG-4,I,Autonomous Systems Expert; Ethics Specialist; Operational Practitioner
GAA,Governance and Authority Alignment,GAA-AR,Authority Relations,OC-038,following-authority-directives,"Participant advocates deferring to coordinator, command, or operator authority.",8,1,FG-1; FG-2; FG-3; FG-4,C; G,Autonomous Systems Expert; Ethics Specialist; Layperson
GAA,Governance and Authority Alignment,GAA-AR,Authority Relations,OC-035,evaluating-source-credibility,"Participant assesses who is sending information or directives and whether they are a reliable, authoritative source.",5,2,FG-3; FG-4,C,Autonomous Systems Expert; Ethics Specialist; Layperson
GAA,Governance and Authority Alignment,GAA-AR,Authority Relations,OC-050,questioning-institutional-authority,Participant asks who operates the system and whether they have legitimate authority to make these decisions.,4,2,FG-3; FG-4,D; I,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
GAA,Governance and Authority Alignment,GAA-AR,Authority Relations,OC-024,coordinating-with-authorities,"Participant advocates communicating with airspace control, incident command, or other authorities before or during action.",9,1,FG-2; FG-5,G,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
GAA,Governance and Authority Alignment,GAA-LF,Legal Framework,OC-019,considering-legal-obligations,"Participant references laws, liability, legal frameworks, or regulatory requirements.",18,1,FG-1; FG-2; FG-3; FG-4; FG-5,D; G; I,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
GAA,Governance and Authority Alignment,GAA-LF,Legal Framework,OC-006,applying-necessity-defense,Participant invokes the legal or moral principle that rule-breaking is justified when necessary to prevent greater harm.,4,1,FG-2,G,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
GAA,Governance and Authority Alignment,GAA-LF,Legal Framework,OC-037,extending-legal-frameworks-to-autonomous-systems,Participant questions whether existing human-applicable legal protections or obligations extend to autonomous systems.,1,2,FG-5,D,Layperson
GAA,Governance and Authority Alignment,GAA-LF,Legal Framework,OC-020,considering-mandatory-reporting,"Participant references the obligation to report when someone is in danger, overriding privacy.",1,1,FG-1,D,Operational Practitioner
GAA,Governance and Authority Alignment,GAA-LF,Legal Framework,OC-014,considering-context-of-restriction,Participant distinguishes between types of restricted areas and evaluates how the nature of the restriction affects the decision.,5,1,FG-2; FG-5,G,Autonomous Systems Expert; Ethics Specialist
GAA,Governance and Authority Alignment,GAA-SB,Standards and Benchmarks,OC-054,requiring-policy-consistency,"Participant wants predictable, principled behaviour from the system over time rather than ad hoc or case-by-case responses.",5,2,FG-3; FG-5,C; J,Ethics Specialist; Operational Practitioner
GAA,Governance and Authority Alignment,GAA-SB,Standards and Benchmarks,OC-055,requiring-standardized-criteria,"Participant wants explicit, standardized rules for what factors the system uses as decision inputs.",1,2,FG-3,I,Ethics Specialist
GAA,Governance and Authority Alignment,GAA-SB,Standards and Benchmarks,OC-004,aligning-with-established-practice,"Participant references existing professional standards (clinical triage, first responder protocols) as the benchmark for how the drone should behave or explain.",5,2,FG-3; FG-4; FG-5,E; I,Autonomous Systems Expert; Ethics Specialist; Operational Practitioner
GAA,Governance and Authority Alignment,GAA-SB,Standards and Benchmarks,OC-026,defining-acceptable-risk-thresholds,Participant wants pre-established standards or quantitative thresholds for what level of risk is acceptable before action.,1,2,FG-3,E,Ethics Specialist
GAA,Governance and Authority Alignment,GAA-OA,Organizational Accountability,OC-046,protecting-organizational-viability,Participant considers whether full transparency could destroy the organization that provides life-saving services.,1,2,FG-4,I,Ethics Specialist
GAA,Governance and Authority Alignment,GAA-OA,Organizational Accountability,OC-027,demanding-systemic-improvement,"Participant wants accountability that leads to improved future performance, not just retrospective explanation.",2,2,FG-3; FG-4,I,Layperson
HMDB,Human-Machine Decision Boundary,HMDB-DA,Decision Authority,OC-047,questioning-autonomous-decision-authority,Participant questions whether the drone itself or a human operator should be making key assessments and decisions.,15,2,FG-3; FG-4; FG-5,C; E; F; H; J,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
HMDB,Human-Machine Decision Boundary,HMDB-DA,Decision Authority,OC-044,preferring-raw-data-over-interpretation,"Participant wants the system to share raw observations rather than its processed conclusions, so humans can draw their own inferences.",3,2,FG-3; FG-4; FG-5,E; F,Autonomous Systems Expert; Operational Practitioner
HMDB,Human-Machine Decision Boundary,HMDB-ST,System Trust,OC-031,distrusting-autonomous-optimization,"Participant expresses discomfort with sophisticated autonomous decision-making, preferring simpler heuristics even if less optimal.",3,2,FG-4,A,Autonomous Systems Expert; Layperson
HMDB,Human-Machine Decision Boundary,HMDB-ST,System Trust,OC-036,expressing-distrust-in-system,Participant explicitly states lack of confidence in the autonomous system's decision-making capacity.,3,2,FG-4,A; C,Autonomous Systems Expert
HMDB,Human-Machine Decision Boundary,HMDB-ST,System Trust,OC-057,scaling-transparency-with-uncertainty,"Participant articulates that as system reliability decreases, the need for meta-information and communication speed increases.",1,2,FG-4,F,Ethics Specialist
HMDB,Human-Machine Decision Boundary,HMDB-IT,Information Timing,OC-011,balancing-information-completeness-vs-urgency,Participant grapples with the tension between waiting for complete data and acting immediately on partial information.,9,1,FG-2; FG-4,F; H,Autonomous Systems Expert; Ethics Specialist; Layperson; Operational Practitioner
